id;person1_id;person2_id;marriage;separation;local;created_at;updated_at
74;243;244;;;;2023-05-15 01:36:55 UTC;2023-05-15 01:36:55 UTC
75;247;248;;;;2023-05-15 01:36:55 UTC;2023-05-15 01:36:55 UTC
76;251;252;1957-12-21;;;2023-05-15 01:36:55 UTC;2023-05-15 01:36:55 UTC
77;253;297;;;;2023-05-15 01:36:55 UTC;2023-05-15 01:36:55 UTC
78;255;256;;;;2023-05-15 01:36:55 UTC;2023-05-15 01:36:55 UTC
79;255;299;;;;2023-05-15 01:36:55 UTC;2023-05-15 01:36:55 UTC
80;260;261;;;;2023-05-15 01:36:55 UTC;2023-05-15 01:36:55 UTC
81;263;303;;;;2023-05-15 01:36:55 UTC;2023-05-15 01:36:55 UTC
82;266;267;;;;2023-05-15 01:36:55 UTC;2023-05-15 01:36:55 UTC
83;280;281;;;;2023-05-15 01:36:55 UTC;2023-05-15 01:36:55 UTC
84;254;284;;;;2023-05-15 01:36:55 UTC;2023-05-15 01:36:55 UTC
85;285;286;;;;2023-05-15 01:36:55 UTC;2023-05-15 01:36:55 UTC
86;287;288;;;;2023-05-15 01:36:55 UTC;2023-05-15 01:36:55 UTC
87;290;291;;;;2023-05-15 01:36:55 UTC;2023-05-15 01:36:55 UTC
88;293;294;;;;2023-05-15 01:36:55 UTC;2023-05-15 01:36:55 UTC
89;259;300;;;;2023-05-15 01:36:55 UTC;2023-05-15 01:36:55 UTC
90;258;301;;;;2023-05-15 01:36:55 UTC;2023-05-15 01:36:55 UTC
91;264;302;;;;2023-05-15 01:36:55 UTC;2023-05-15 01:36:55 UTC
92;266;304;;;;2023-05-15 01:36:55 UTC;2023-05-15 01:36:55 UTC
93;270;305;;;;2023-05-15 01:36:56 UTC;2023-05-15 01:36:56 UTC
94;269;308;;;;2023-05-15 01:36:56 UTC;2023-05-15 01:36:56 UTC
95;311;312;;;;2023-05-15 01:36:56 UTC;2023-05-15 01:36:56 UTC
96;321;322;;;;2023-05-15 01:36:56 UTC;2023-05-15 01:36:56 UTC
97;323;363;;;;2023-05-15 01:36:56 UTC;2023-05-15 01:36:56 UTC
98;324;364;;;;2023-05-15 01:36:56 UTC;2023-05-15 01:36:56 UTC
99;325;365;;;;2023-05-15 01:36:56 UTC;2023-05-15 01:36:56 UTC
100;326;327;;;;2023-05-15 01:36:56 UTC;2023-05-15 01:36:56 UTC
101;328;329;;;;2023-05-15 01:36:56 UTC;2023-05-15 01:36:56 UTC
102;330;332;;;;2023-05-15 01:36:56 UTC;2023-05-15 01:36:56 UTC
103;331;335;;;;2023-05-15 01:36:56 UTC;2023-05-15 01:36:56 UTC
104;337;350;;;;2023-05-15 01:36:56 UTC;2023-05-15 01:36:56 UTC
105;338;357;;;;2023-05-15 01:36:56 UTC;2023-05-15 01:36:56 UTC
106;339;340;;;;2023-05-15 01:36:56 UTC;2023-05-15 01:36:56 UTC
107;341;342;;;;2023-05-15 01:36:56 UTC;2023-05-15 01:36:56 UTC
108;336;343;;;;2023-05-15 01:36:56 UTC;2023-05-15 01:36:56 UTC
109;344;347;;;;2023-05-15 01:36:56 UTC;2023-05-15 01:36:56 UTC
110;351;359;;;;2023-05-15 01:36:56 UTC;2023-05-15 01:36:56 UTC
111;161;352;;;;2023-05-15 01:36:56 UTC;2023-05-15 01:36:56 UTC
112;355;356;;;;2023-05-15 01:36:56 UTC;2023-05-15 01:36:56 UTC
113;366;367;;;;2023-05-15 01:36:56 UTC;2023-05-15 01:36:56 UTC
114;368;369;;;;2023-05-15 01:36:56 UTC;2023-05-15 01:36:56 UTC
115;370;371;;;;2023-05-15 01:36:56 UTC;2023-05-15 01:36:56 UTC
116;373;374;;;;2023-05-15 01:36:56 UTC;2023-05-15 01:36:56 UTC
117;375;376;;;;2023-05-15 01:36:56 UTC;2023-05-15 01:36:56 UTC
118;379;380;;;;2023-05-15 01:36:57 UTC;2023-05-15 01:36:57 UTC
119;39;384;2006-07-15;;;2023-05-15 01:36:57 UTC;2023-05-15 01:36:57 UTC
120;387;388;1989-02-18;;;2023-05-15 01:36:57 UTC;2023-05-15 01:36:57 UTC
121;390;391;;;;2023-05-15 01:36:57 UTC;2023-05-15 01:36:57 UTC
122;393;394;;;;2023-05-15 01:36:57 UTC;2023-05-15 01:36:57 UTC
123;395;396;;;;2023-05-15 01:36:57 UTC;2023-05-15 01:36:57 UTC
124;397;398;;;;2023-05-15 01:36:57 UTC;2023-05-15 01:36:57 UTC
125;400;401;;;;2023-05-15 01:36:57 UTC;2023-05-15 01:36:57 UTC
126;402;403;;;;2023-05-15 01:36:57 UTC;2023-05-15 01:36:57 UTC
127;406;407;;;;2023-05-15 01:36:57 UTC;2023-05-15 01:36:57 UTC
128;404;405;;;;2023-05-15 01:36:57 UTC;2023-05-15 01:36:57 UTC
129;408;413;;;;2023-05-15 01:36:57 UTC;2023-05-15 01:36:57 UTC
130;415;416;;;;2023-05-15 01:36:57 UTC;2023-05-15 01:36:57 UTC
131;417;418;;;;2023-05-15 01:36:57 UTC;2023-05-15 01:36:57 UTC
132;421;422;;;;2023-05-15 01:36:57 UTC;2023-05-15 01:36:57 UTC
133;419;420;;;;2023-05-15 01:36:57 UTC;2023-05-15 01:36:57 UTC
